user_id product_id orignal_rating
0 0 1.0
0 7 0.5
1 0 1.0
1 1 1.0
2 0 1.0
2 1 0.0
3 0 0.75
3 1 0.75
4 0 0.75
4 18 0.5
5 0 0.75
5 1 0.75
6 0 1.0
6 1 0.75
7 16 0.5
7 27 1.0
8 16 0.75
8 3 0.25
9 35 1.0
9 7 1.0
10 1 0.25
10 25 0.75
11 0 0.5
11 1 0.5
12 27 0.5
12 11 1.0
13 0 0.75
13 3 1.0
14 0 1.0
14 6 0.75
15 0 0.75
15 1 0.75
16 9 0.75
16 4 1.0
17 1 0.75
17 9 1.0
18 0 1.0
18 1 0.5
19 0 1.0
19 4 0.5
20 9 0.25
20 2 0.75
21 0 0.75
21 9 0.75
22 0 1.0
22 6 1.0
23 9 0.0
23 11 0.5
24 9 0.5
24 18 0.75
25 0 1.0
25 6 1.0
26 2 1.0
26 7 0.75
27 8 0.5
27 1 0.75
28 1 1.0
28 9 0.5
29 18 1.0
29 28 1.0
30 0 0.5
30 14 0.5
31 9 0.75
31 7 0.25
32 0 1.0
32 7 0.5
33 35 0.75
33 31 0.5
34 0 0.5
34 1 0.25
35 0 1.0
35 6 1.0
36 0 1.0
36 2 0.25
37 0 1.0
37 9 0.75
38 0 1.0
38 9 0.75
40 33 0.5
40 30 0.75
41 9 0.75
41 18 1.0
42 0 0.75
42 2 1.0
43 16 0.75
43 30 0.75
44 2 0.25
44 15 0.5
45 33 0.0
45 30 0.25
46 33 0.5
46 30 0.5
47 2 0.75
47 7 0.5
48 16 1.0
48 9 1.0
49 10 0.75
49 7 0.75
50 0 1.0
50 9 1.0
51 1 0.75
51 5 0.5
52 9 0.75
52 12 1.0
53 33 0.5
53 30 0.5
54 16 0.75
54 9 1.0
55 0 0.75
55 9 1.0
56 10 0.25
56 7 0.5
57 10 0.75
57 31 0.75
58 33 0.75
58 38 0.75
59 33 0.0
59 35 0.0
60 0 1.0
60 9 0.75
61 10 0.25
61 7 0.5
62 10 0.75
62 31 0.75
63 0 1.0
63 11 1.0
64 0 1.0
64 33 0.25
65 18 0.5
65 23 1.0
66 32 0.75
66 31 0.5
67 27 1.0
67 12 0.75
69 28 1.0
69 30 1.0
70 9 1.0
70 10 1.0
71 0 1.0
71 1 0.75
72 16 0.0
72 38 0.5
73 16 0.5
73 27 1.0
74 0 1.0
74 1 1.0
75 0 0.75
75 3 0.5
76 16 0.75
76 14 0.5
77 0 0.0
77 1 0.0
78 0 1.0
78 1 0.75
79 16 0.75
79 7 0.5
80 9 1.0
80 7 0.0
81 18 0.25
81 27 0.5
82 9 1.0
82 7 0.0
83 0 0.75
83 1 0.5
84 3 1.0
84 7 1.0
85 0 1.0
85 1 1.0
