user_id product_id predicted_rating
0 0 0.98150239178
0 7 0.461189113484
1 0 0.762866141438
1 1 0.571959918132
2 0 0.852841136495
2 1 0.714103473667
3 0 0.921024788019
3 1 0.70574564374
4 0 0.794739002536
4 18 0.656528556679
5 0 0.921024788019
5 1 0.70574564374
6 0 0.702063131953
6 1 0.627803120849
7 16 0.787932418641
7 27 0.664626171859
8 16 0.726487632757
8 3 0.936794143692
9 35 0.649589534035
9 7 0.413291670574
10 1 0.600806115966
10 25 0.5429991799
11 0 0.948387686772
11 1 0.720266880626
12 11 0.798517505232
12 27 0.356909478819
13 0 0.758546342721
13 3 0.205789871323
14 0 0.845975767608
14 6 0.768514480207
15 0 0.975886189482
15 1 0.769504355355
16 9 0.824878864865
16 4 0.292428694591
17 1 0.55300074378
17 9 0.595275516688
18 0 0.89546568044
18 1 0.706569555703
19 0 0.920368263837
19 4 0.75
20 9 0.961191820638
20 2 1.0
21 0 0.842174567567
21 9 0.6081390399
22 0 0.911130972121
22 6 0.82326240382
23 9 0.877462737491
23 11 0.827449570539
24 9 0.614259995677
24 18 0.674203613861
25 0 0.96419680087
25 6 0.680321579034
26 2 0.820236738691
26 7 0.731339730929
27 8 0.80917379243
27 1 0.59278817557
28 1 0.45
28 9 0.542618294806
29 18 0.606343511281
29 28 1.0
30 0 0.923656131902
30 14 1.0
31 9 0.706541078073
31 7 0.408491145319
32 0 0.846095993572
32 7 0.591823162524
33 35 0.614233773064
33 31 0.885618272684
34 0 0.938488097662
34 1 0.717151247891
35 0 0.969655969058
35 6 0.762696148367
36 0 0.822453516652
36 2 0.89129840865
37 0 0.920902672901
37 9 0.539580123082
38 0 0.920902672901
38 9 0.539580123082
40 33 0.75
40 30 0.5
41 9 0.637642582663
41 18 0.709447380383
42 0 0.860335389279
42 2 0.831908794251
43 16 0.882864414276
43 30 0.465821913492
44 2 0.691042885547
44 15 0.923021103761
45 33 0.648543145111
45 30 0.625720035546
47 2 0.46178853696
47 7 0.630178350917
48 16 0.71516336944
48 9 0.682256575182
49 10 0.837358885738
49 7 0.661087745105
50 0 0.94679359901
50 9 0.784512786996
52 9 0.772912087468
52 12 0.75
54 16 0.835773457366
54 9 0.833017243427
55 0 0.988505736503
55 9 0.791487295239
56 10 0.503949714086
56 7 0.459783278876
57 10 0.642857142857
57 31 0.875
60 0 0.821979869004
60 9 0.747694065473
61 10 0.460033051162
61 7 0.453266747053
62 10 0.642857142857
62 31 0.875
63 0 0.882536093045
63 11 0.765492163889
64 0 0.833333333333
64 33 0.7
65 18 0.776949621043
65 23 0.726630973512
70 9 0.721279003356
70 10 0.755909803926
71 0 0.786406775795
71 1 0.640081816104
72 16 0.5
72 38 0.5
73 16 0.775712928542
73 27 0.735225163681
74 0 1.0
74 1 0.686015661468
75 0 0.822128107623
75 3 0.288325922817
76 16 0.78452176688
76 14 0.448343660998
77 0 0.909942448436
77 1 0.738285454697
78 0 0.877226970504
78 1 0.483010267888
79 16 0.798278916254
79 7 0.815131193068
80 9 0.642197478554
80 7 0.547131480465
81 18 0.441996059606
81 27 0.496770862155
82 9 0.642197478554
82 7 0.547131480465
83 0 0.933696366185
83 1 0.667381841699
84 3 0.568050466958
84 7 0.412390338309
85 0 0.840359741877
85 1 0.557478062478
